Variable code,region_code,region_name,3B,25A,28A,28C,28E,28I,28K,28M,28N,8A,ratePreTrial,rateNotPreTrial,rateCitizens,suicideCitizens,r,s,t,u,v,w,x,y,z,aa
2021.0,AT,Austria,8465.0,9152.0,29.0,1.0,9.0,8.0,19.0,34.3,10.6,1693,47.25339634,1.476668636,1.232,1125.0,,,,,,,,,,
2021.0,BE,Belgium,10379.0,16499.0,48.0,NA,16.0,NA,NA,46.2,15.4,3983,NA,NA,1.522,1736.0,,,,,,,,,,
2021.0,BG,Bulgaria,7049.0,14859.0,52.0,0.0,1.0,1.0,0.0,73.8,1.4,1475,6.779661017,0,0.799,575.0,,,,,,,,,,
2021.0,HR,Croatia,3531.0,7746.0,9.0,0.0,0.0,0.0,9.0,25.5,0.0,1281,0,0,1.401,582.0,,,,,,,,,,
2021.0,CY,Cyprus,600.0,1322.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,159,0,0,0.435,38.0,,,,,,,,,,
2021.0,CZ,Czech Rep.,19286.0,11110.0,27.0,0.0,15.0,8.0,12.0,14.0,7.8,1570,50.95541401,3.951230526,1.122,1196.0,,,,,,,,,,
2021.0,DK,Denmark,3902.0,6043.0,4.0,0.0,4.0,3.0,0.0,10.3,10.3,1610,18.63354037,4.363001745,1.059,607.0,,,,,,,,,,
2021.0,EE,Estonia,2341.0,1955.0,14.0,0.0,3.0,1.0,11.0,59.8,12.8,459,21.78649237,10.62699256,1.489,197.0,,,,,,,,,,
2021.0,FI,Finland,2395.0,5522.0,2.0,0.0,2.0,2.0,0.0,8.4,8.4,518,38.61003861,0,1.347,740.0,,,,,,,,,,
2021.0,FR,France,62673.0,69681.0,262.0,3.0,175.0,77.0,84.0,41.8,27.9,17856,43.12275986,21.86670237,1.276,8382.0,,,,,,,,,,
2021.0,DE,Germany,59045.0,95791.0,109.0,NA,31.0,NA,NA,18.5,5.3,12194,NA,NA,1.018,9088.0,,,,,,,,,,
2021.0,EL,Greece,11334.0,5659.0,14.0,1.0,6.0,0.0,7.0,12.4,5.3,2662,0,6.918819188,0.463,516.0,,,,,,,,,,
2021.0,HU,Hungary,17483.0,15796.0,71.0,0.0,5.0,0.0,66.0,40.6,2.9,3569,0,3.593502947,1.565,1543.0,,,,,,,,,,
2021.0,IE,Ireland,3724.0,6697.0,6.0,NA,NA,NA,NA,16.1,,764,NA,NA,0.815,388.0,,,,,,,,,,
2021.0,IT,Italy,53329.0,44638.0,155.0,1.0,61.0,32.0,93.0,29.1,11.4,16791,19.0578286,7.936942361,0.562,3657.0,,,,,,,,,,
2021.0,LV,Latvia,3038.0,***,35.0,0.0,6.0,4.0,29.0,115.2,19.7,795,50.31446541,8.916629514,1.504,293.0,,,,,,,,,,
2021.0,LT,Lithuania,5320.0,4665.0,27.0,0.0,7.0,2.0,20.0,50.8,13.2,581,34.42340792,10.5507491,2.289,654.0,,,,,,,,,,
2021.0,LU,Luxembourg,557.0,895.0,1.0,0.0,1.0,0.0,0.0,18.0,18.0,241,0,31.64556962,1.152,69.0,,,,,,,,,,
2020.0,MT,Malta,793.0,837.0,6.0,0.0,2.0,2.0,4.0,75.7,25.2,229,87.33624454,0,0.395,21.0,,,,,,,,,,
2021.0,NL,Netherlands,9415.0,21676.0,19.0,0.0,12.0,10.0,7.0,20.2,12.7,4253,23.51281448,3.874467261,1.048,1825.0,,,,,,,,,,
2021.0,PL,Poland,67894.0,80485.0,122.0,1.0,27.0,NA,0.0,18.0,4.0,8692,NA,NA,1.196,4615.0,,,,,,,,,,
2021.0,PT,Portugal,11412.0,5819.0,75.0,0.0,21.0,0.0,54.0,65.7,18.4,2273,0,22.97844403,0.876,974.0,,,,,,,,,,
2021.0,RO,Romania,21774.0,9433.0,75.0,1.0,9.0,4.0,65.0,34.4,4.1,2263,17.67565179,2.562656963,0.902,1752.0,,,,,,,,,,
2021.0,SK,Slovak Rep.,10489.0,6269.0,30.0,0.0,4.0,3.0,26.0,28.6,3.8,1618,18.54140915,1.127268628,0.697,373.0,,,,,,,,,,
2021.0,SI,Slovenia,1136.0,2313.0,5.0,0.0,1.0,1.0,4.0,44.0,8.8,376,26.59574468,0,1.823,393.0,,,,,,,,,,
2021.0,ES,Spain,55110.0,32199.0,178.0,2.0,62.0,14.0,114.0,32.3,11.3,8614,16.25261203,10.32346869,0.739,3632.0,,,,,,,,,,
2021.0,SE,Sweden,7297.0,8710.0,4.0,0.0,2.0,2.0,2.0,5.5,2.7,2021,9.896091044,0,1.275,1283.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
