manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
