manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
