manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
