TRaNS,mODeL,yEAr,fL,disPL,CLaSs,cYl
manual(m5),impreza awd,1999,r,2.2,subcompact,4
manual(m5),tiburon,2008,r,2,subcompact,4
manual(m6),a4 quattro,2008,p,2,compact,4
auto(l5),a4,1999,p,2.8,compact,6
manual(m6),ram 1500 pickup 4wd,2008,e,4.7,pickup,8
manual(m5),mustang,1999,r,3.8,subcompact,6
manual(m5),jetta,2008,r,2.5,compact,5
auto(l4),caravan 2wd,1999,r,3.8,minivan,6
manual(m5),civic,1999,r,1.6,subcompact,4
auto(s6),range rover,2008,r,4.2,suv,8
auto(l4),camry solara,1999,r,2.2,compact,4
manual(m5),a4,1999,p,1.8,compact,4
auto(l4),expedition 2wd,1999,r,5.4,suv,8
auto(l3),corolla,1999,r,1.8,compact,4
auto(l4),caravan 2wd,1999,r,3.3,minivan,6
auto(l4),c1500 suburban 2wd,2008,r,6,suv,8
manual(m5),new beetle,2008,r,2.5,subcompact,5
auto(l4),c1500 suburban 2wd,1999,r,5.7,suv,8
auto(l4),impreza awd,1999,r,2.2,subcompact,4
auto(l5),civic,2008,c,1.8,subcompact,4
