MODeL,dRv,TRAnS,HWy,CLAss,CYl,CtY,MANUfActuREr
passat,f,manual(m5),29,midsize,4,21,volkswagen
gti,f,auto(l4),26,compact,4,19,volkswagen
mountaineer 4wd,4,auto(l6),19,suv,8,13,mercury
dakota pickup 4wd,4,manual(m5),17,pickup,6,14,dodge
mustang,r,auto(l5),24,subcompact,6,16,ford
corolla,f,manual(m5),37,compact,4,28,toyota
range rover,4,auto(s6),18,suv,8,12,land rover
sonata,f,auto(l4),26,midsize,6,18,hyundai
jetta,f,manual(m5),44,compact,4,33,volkswagen
mountaineer 4wd,4,auto(l5),19,suv,6,13,mercury
ram 1500 pickup 4wd,4,manual(m5),16,pickup,8,11,dodge
toyota tacoma 4wd,4,auto(l5),20,pickup,6,16,toyota
camry solara,f,manual(m5),31,compact,4,21,toyota
corvette,r,manual(m6),24,2seater,8,15,chevrolet
c1500 suburban 2wd,r,auto(l4),20,suv,8,14,chevrolet
impreza awd,4,manual(m5),27,compact,4,20,subaru
mustang,r,manual(m6),20,subcompact,8,14,ford
expedition 2wd,r,auto(l4),17,suv,8,11,ford
4runner 4wd,4,auto(l4),20,suv,4,16,toyota
jetta,f,auto(l4),26,compact,4,19,volkswagen
