TRAnS,cty,YEAR,ModEl,DrV,DISpL,cLAsS,hwy,MaNUfaCtUrer
manual(m5),21,2008,camry,f,2.4,midsize,31,toyota
auto(l5),16,2008,toyota tacoma 4wd,4,4,pickup,20,toyota
manual(m5),15,1999,4runner 4wd,4,2.7,suv,20,toyota
manual(m5),19,1999,tiburon,f,2,subcompact,29,hyundai
manual(m5),18,1999,sonata,f,2.4,midsize,27,hyundai
auto(l4),11,1999,durango 4wd,4,5.9,suv,15,dodge
auto(l5),14,2008,pathfinder 4wd,4,4,suv,20,nissan
manual(m6),21,2008,passat,f,2,midsize,29,volkswagen
auto(l4),24,1999,corolla,f,1.8,compact,33,toyota
auto(l4),13,1999,mountaineer 4wd,4,5,suv,17,mercury
auto(l5),19,2008,sonata,f,3.3,midsize,28,hyundai
auto(l4),11,1999,k1500 tahoe 4wd,4,5.7,suv,15,chevrolet
auto(l4),11,1999,f150 pickup 4wd,4,5.4,pickup,15,ford
auto(l4),19,1999,gti,f,2,compact,26,volkswagen
manual(m6),20,2008,a4,f,2,compact,31,audi
manual(m5),17,2008,tiburon,f,2.7,subcompact,24,hyundai
auto(l4),13,1999,dakota pickup 4wd,4,3.9,pickup,17,dodge
manual(m5),33,1999,jetta,f,1.9,compact,44,volkswagen
auto(l4),22,2008,malibu,f,2.4,midsize,30,chevrolet
auto(l4),18,2008,grand prix,f,3.8,midsize,28,pontiac
