dIsPL,yeAr,fL,Cyl,DRV,ModEl,CtY,ManUfacTUrer,hwy
2.7,1999,r,4,4,4runner 4wd,16,toyota,20
5.7,2008,r,8,4,ram 1500 pickup 4wd,13,dodge,17
1.6,1999,p,4,f,civic,23,honda,29
4,1999,r,6,4,explorer 4wd,14,ford,17
2.8,1999,p,6,4,a4 quattro,17,audi,25
5.2,1999,r,8,4,durango 4wd,11,dodge,16
5.9,1999,r,8,4,durango 4wd,11,dodge,15
6,2008,r,8,r,c1500 suburban 2wd,12,chevrolet,17
2.5,2008,r,5,f,new beetle,20,volkswagen,29
4.7,2008,r,8,4,ram 1500 pickup 4wd,13,dodge,17
5.2,1999,r,8,4,dakota pickup 4wd,11,dodge,17
5.7,2008,r,8,4,durango 4wd,13,dodge,18
3,1999,r,6,f,camry,18,toyota,26
2.8,1999,p,6,4,a6 quattro,15,audi,24
2.8,1999,r,6,f,gti,17,volkswagen,24
4.6,1999,r,8,r,mustang,15,ford,21
4.2,2008,p,8,4,a6 quattro,16,audi,23
2,1999,r,4,f,gti,19,volkswagen,26
2.2,1999,r,4,f,camry solara,21,toyota,27
5.3,2008,e,8,r,c1500 suburban 2wd,11,chevrolet,15
