MODEL,DrV,yeAr,FL,CLASS
jetta,f,2008,p,compact
sonata,f,2008,r,midsize
k1500 tahoe 4wd,4,1999,r,suv
mustang,r,1999,r,subcompact
c1500 suburban 2wd,r,2008,r,suv
grand prix,f,1999,r,midsize
altima,f,2008,p,midsize
passat,f,1999,p,midsize
impreza awd,4,1999,r,subcompact
caravan 2wd,f,1999,r,minivan
gti,f,2008,p,compact
a4 quattro,4,2008,p,compact
a4 quattro,4,2008,p,compact
range rover,4,1999,p,suv
corvette,r,1999,p,2seater
navigator 2wd,r,2008,r,suv
a4,f,1999,p,compact
c1500 suburban 2wd,r,2008,e,suv
civic,f,2008,c,subcompact
altima,f,2008,r,midsize
