Winter,SnowInches,SnowMeters
1940-1941,47.8,1.21412
1941-1942,23.9,0.60706
1942-1943,45.7,1.16078
1943-1944,27.7,0.70358
1944-1945,59.2,1.50368
1945-1946,50.8,1.29032
1946-1947,19.4,0.49276
1947-1948,89.2,2.26568
1948-1949,37.1,0.94234
1949-1950,32,0.8128
1950-1951,29.7,0.75438
1951-1952,31.9,0.81026
1952-1953,29.8,0.75692
1953-1954,23.6,0.59944
1954-1955,25.1,0.63754
1955-1956,60.9,1.54686
1956-1957,52,1.3208
1957-1958,44.7,1.13538
1958-1959,34.1,0.86614
1959-1960,40.9,1.03886
1960-1961,61.5,1.5621
1961-1962,44.7,1.13538
1962-1963,30.9,0.78486
1963-1964,63,1.6002
1964-1965,50.4,1.28016
1965-1966,44.1,1.12014
1966-1967,60.1,1.52654
1967-1968,44.8,1.13792
1968-1969,53.8,1.36652
1969-1970,48.8,1.23952
1970-1971,57.3,1.45542
1971-1972,47.5,1.2065
1972-1973,10.3,0.26162
1973-1974,36.9,0.93726
1974-1975,27.6,0.70104
1975-1976,46.6,1.18364
1976-1977,58.5,1.4859
1977-1978,85.1,2.16154
1978-1979,27.5,0.6985
1979-1980,12.5,0.3175
1980-1981,22.3,0.56642
1981-1982,61.8,1.56972
1982-1983,32.7,0.83058
1983-1984,43,1.0922
1984-1985,26.6,0.67564
1985-1986,18.1,0.45974
1986-1987,42.5,1.0795
1987-1988,52.6,1.33604
1988-1989,15.5,0.3937
1989-1990,39.2,0.99568
1990-1991,19.1,0.48514
1991-1992,22,0.5588
1992-1993,83.9,2.13106
1993-1994,96.3,2.44602
1994-1995,14.9,0.37846
1995-1996,107.6,2.73304
1996-1997,51.9,1.31826
1997-1998,25.6,0.65024
1998-1999,36.4,0.92456
1999-2000,24.4,0.61976
2000-2001,45.9,1.16586
2001-2002,15.1,0.38354
2002-2003,70.9,1.80086
2003-2004,39.4,1.00076
2004-2005,86.6,2.19964
2005-2006,39.9,1.01346
2006-2007,17.1,0.43434
2007-2008,51.2,1.30048
2008-2009,65.9,1.67386
2009-2010,35.7,0.90678
2010-2011,81,2.0574
2011-2012,9.3,0.23622
2012-2013,63.4,1.61036
2013-2014,58.9,1.49606
2014-2015,110.6,2.80924
2015-2016,36.2,0.91948
